"user_id","gender","age_grp","s_q7","s_q9","s_q10","s_q11","s_q14","s_q15","s_q16","s_q17","s_q18","s_q19","total_score_pre","pre_percent","s_q1","s_q2","s_q3","s_q4","s_q5","s_q6","s_q7b","s_q8b","s_q9b","s_q10b","s_q11b","s_q12b","s_q13b","s_q14b","s_q15b","s_q16b","s_q17b","s_q18b","s_q19b","s_q20b","total_score_post","post_percent","diff_score","post_percent_correct","know_pre_raw","know_pre_pct","know_post_raw","know_post_pct","know_gain_pure","act_pre_pct","act_post_new_pct","act_gain_new","action_post","commit_post","know_total_post","know_gain","spillover_score"
"Chu6635","female","18_30",5,1,0,1,1,0,1,0,1,3,8,57.1428571428571,0,1,0,3,0,0.5,0,0,1,1,0,0.75,1,6,1,1,1,1,0.8,1,15.25,101.67,101.67,57.5471698113208,4,50,6.25,52.0833333333333,2.08333333333334,60,87.5,27.5,75,100,50,10,3
"Chu9456","female","u18",1,1,0,0,0,0,1,0,0,0,2,14.2857142857143,0,1,0,3,0,0.5,0,1,1,0,0,1,1,5,1,1,1,1,0.5,1,14.5,96.67,96.67,54.7169811320755,1,12.5,6.5,54.1666666666667,41.6666666666667,0,75,75,100,100,50,30,0
"Hoà6255","male","18_30",2,1,0,1,1,1,1,0,0,1,6,42.8571428571429,0,1,0,4,0,1,0,1,1,1,0,1,1,1,1,NA,0,0,1,0.75,13,86.67,86.67,49.0566037735849,4,50,9,75,25,20,25,5,100,100,80,20,1
"Lê0725","male","u18",4,0,1,0,0,0,1,0,0,0,2,14.2857142857143,0,1,1,4,0,0.5,0,0,1,0,0,0.75,1,2,1,NA,0,0,0.8,0.5,12.25,81.67,81.67,46.2264150943396,2,25,7.25,60.4166666666667,35.4166666666667,0,37.5,37.5,75,100,50,10,0
"Lê8624","female","u18",4,1,0,0,1,0,1,1,0,1,5,35.7142857142857,0,1,1,4,0,0.5,0,0,1,0,0,1,1,3,1,2.8,0.8,1,0.7,0,13.5,90,90,50.9433962264151,3,37.5,7.5,62.5,25,20,50,30,100,100,50,-10,1
"Lươ0955","female","18_30",3,1,0,0,1,1,1,1,0,1,6,42.8571428571429,0,1,0,3,0,0.5,0,0,1,1,0,0.75,1,3,1,NA,0,0,1,1,12.25,81.67,81.67,46.2264150943396,4,50,6.25,52.0833333333333,2.08333333333334,20,50,30,75,100,50,-30,1
"Ngu2863","female","18_30",5,1,0,1,1,0,1,0,1,0,5,35.7142857142857,0,1,0,4,0,0.5,0,1,1,0,0,0.75,1,7,1,NA,0,0,1,1,17.25,115,115,65.0943396226415,4,50,7.25,60.4166666666667,10.4166666666667,0,100,100,75,100,50,10,0
"Ngu2989","female","30_45",3,1,0,0,0,0,1,0,0,1,3,21.4285714285714,0,1,0,2,0,1,0,0,1,1,0,0.75,1,4,1,NA,0,0,1,0.75,12.75,85,85,48.1132075471698,1,12.5,5.75,47.9166666666667,35.4166666666667,20,62.5,42.5,75,100,60,40,1
"Ngu3366","female","18_30",2,1,0,1,1,1,1,1,0,0,6,42.8571428571429,0,1,0,4,0,0.5,0,1,1,1,0,1,1,7,0,NA,0,0,0.6,0.75,17.5,116.67,116.67,66.0377358490566,5,62.5,8.5,70.8333333333333,8.33333333333334,0,100,100,100,100,70,-10,0
"Ngu5442","female","over55",2,0,0,0,1,1,0.5,0,0,0,2.5,17.8571428571429,0,1,0,4,0,0.5,0,1,1,1,0,1,1,4,0,NA,0,0,0.5,0.75,14.5,96.67,96.67,54.7169811320755,2.5,31.25,8.5,70.8333333333333,39.5833333333333,0,62.5,62.5,100,100,70,20,0
"Ngu8516",NA,"u18",3,1,0,0,1,0,1,0,0,0,3,21.4285714285714,0,1,0,4,0,1,0,0,1,0,0,0.75,1,1,1,NA,0,0,1,1,10.75,71.67,71.67,40.5660377358491,2,25,6.75,56.25,31.25,0,25,25,75,100,40,0,0
"Ngu8677","female","30_45",2,1,0,0,1,0,1,0,0,0,3,21.4285714285714,0,1,0,4,0,1,0,1,1,0,0,0.75,0,0,1,NA,0,0,0.8,1,9.75,65,65,36.7924528301887,2,25,7.75,64.5833333333333,39.5833333333333,0,0,0,75,0,60,20,0
"Ngu9882","male","u18",4,1,0,0,1,0,1,0,0,1,4,28.5714285714286,0,1,0,4,0,0.5,0,0,1,0,0,0.75,1,7,1,NA,0,0,0.8,1,16.25,108.33,108.33,61.3207547169811,2,25,6.25,52.0833333333333,27.0833333333333,20,100,80,75,100,30,-10,1
"Phạ7309","male","over60",1,0,0,1,1,1,1,0,0,0,6,42.8571428571429,0,1,0,3,1,0.5,0,0,1,0,0,0.5,0,0,0,3,1,1,0.7,0,7,46.67,46.67,26.4150943396226,4,50,6,50,0,0,0,0,50,0,30,-30,0
"Trầ1998","female","18_30",2,1,0,1,1,1,1,0,0,2,7,50,0,1,0,4,0,0.5,0,1,1,1,0,0.75,1,7,1,1,0.8,1,1,1,18.25,121.67,121.67,68.8679245283019,4,50,8.25,68.75,18.75,40,100,60,75,100,70,10,2
"Trầ2882","female","30_45",3,1,0,0,1,0,1,0,0,2,5,35.7142857142857,0,1,0,4,0,1,0,1,1,1,0,0.75,1,7,1,NA,0,0,0.5,1,18.75,125,125,70.7547169811321,2,25,8.75,72.9166666666667,47.9166666666667,40,100,60,75,100,80,40,2
"Trầ6965","female","u18",3,1,0,0,0,1,1,0,0,0,3,21.4285714285714,0,1,0,2,0,0.5,0,1,1,1,0,0.25,1,2,0,NA,0,0,0.9,1,9.75,65,65,36.7924528301887,2,25,5.75,47.9166666666667,22.9166666666667,0,37.5,37.5,25,100,70,30,0
"Vũ9846","female","30_45",4,1,0,1,1,1,1,1,1,2,9,64.2857142857143,0,1,0,0,0,0.5,0,1,1,1,0,0.75,1,7,1,NA,0,0,1,1,14.25,95,95,53.7735849056604,6,75,4.25,35.4166666666667,-39.5833333333333,40,100,60,75,100,70,-10,2
