"user_id","gender","s_q1","s_q2","s_q3","s_q4","s_q5","s_q6","s_q7b","s_q8b","s_q9b","s_q10b","s_q11b","s_q12b","s_q13b","s_q14b","s_q15b","s_q16b","s_q17b","s_q18b","s_q19b","s_q20b","total_score_post","post_percent","diff_score","post_percent_correct"
"Phạ7309",NA,0,1,0,3,1,0.5,0,0,1,0,0,0.5,0,0,0,3,1,1,0.7,0,7,46.67,46.67,26.4150943396226
"Trầ1998",NA,0,1,0,4,0,0.5,0,1,1,1,0,0.75,1,7,1,1,0.8,1,1,1,18.25,121.67,121.67,68.8679245283019
"Chu9456",NA,0,1,0,3,0,0.5,0,1,1,0,0,1,1,5,1,1,1,1,0.5,1,14.5,96.67,96.67,54.7169811320755
"Chu6635",NA,0,1,0,3,0,0.5,0,0,1,1,0,0.75,1,6,1,1,1,1,0.8,1,15.25,101.67,101.67,57.5471698113208
"Lê8624",NA,0,1,1,4,0,0.5,0,0,1,0,0,1,1,3,1,2.8,0.8,1,0.7,0,13.5,90,90,50.9433962264151
"Ngu9882",NA,0,1,0,4,0,0.5,0,0,1,0,0,0.75,1,7,1,NA,0,0,0.8,1,16.25,108.33,108.33,61.3207547169811
"Lê0725",NA,0,1,1,4,0,0.5,0,0,1,0,0,0.75,1,2,1,NA,0,0,0.8,0.5,12.25,81.67,81.67,46.2264150943396
"Hoà6255",NA,0,1,0,4,0,1,0,1,1,1,0,1,1,1,1,NA,0,0,1,0.75,13,86.67,86.67,49.0566037735849
"Lê2150",NA,0,1,0,1,0,0.5,0,0,1,0,0,0.75,1,6,1,NA,0,0,1,1,12.25,81.67,81.67,46.2264150943396
"Vũ9846",NA,0,1,0,0,0,0.5,0,1,1,1,0,0.75,1,7,1,NA,0,0,1,1,14.25,95,95,53.7735849056604
"Trầ6965",NA,0,1,0,2,0,0.5,0,1,1,1,0,0.25,1,2,0,NA,0,0,0.9,1,9.75,65,65,36.7924528301887
"Lươ0955",NA,0,1,0,3,0,0.5,0,0,1,1,0,0.75,1,3,1,NA,0,0,1,1,12.25,81.67,81.67,46.2264150943396
"Ngu8677",NA,0,1,0,4,0,1,0,1,1,0,0,0.75,0,0,1,NA,0,0,0.8,1,9.75,65,65,36.7924528301887
"Trầ2882",NA,0,1,0,4,0,1,0,1,1,1,0,0.75,1,7,1,NA,0,0,0.5,1,18.75,125,125,70.7547169811321
"Ngu3366",NA,0,1,0,4,0,0.5,0,1,1,1,0,1,1,7,0,NA,0,0,0.6,0.75,17.5,116.67,116.67,66.0377358490566
"Ngu2989",NA,0,1,0,2,0,1,0,0,1,1,0,0.75,1,4,1,NA,0,0,1,0.75,12.75,85,85,48.1132075471698
"Ngu5442",NA,0,1,0,4,0,0.5,0,1,1,1,0,1,1,4,0,NA,0,0,0.5,0.75,14.5,96.67,96.67,54.7169811320755
"Ngu8516",NA,0,1,0,4,0,1,0,0,1,0,0,0.75,1,1,1,NA,0,0,1,1,10.75,71.67,71.67,40.5660377358491
"Ngu2863",NA,0,1,0,4,0,0.5,0,1,1,0,0,0.75,1,7,1,NA,0,0,1,1,17.25,115,115,65.0943396226415
