"user_id","gender","age_grp","s_q7","s_q9","s_q10","s_q11","s_q14","s_q15","s_q16","s_q17","s_q18","s_q19","total_score_pre","pre_percent"
"A4321",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Bùi0209","female","u18",4,1,0,0,0,0,1,0,0,2,4,28.5714285714286
"Bùi4382","female","u18",3,1,0,0,0,0,1,0,0,4,6,42.8571428571429
"Bùi6095",NA,NA,2,1,0,0,1,0,1,0,0,2,6,42.8571428571429
"Chu0262","male","30_45",2,1,0,0,1,0,1,0,0,0,3,21.4285714285714
"Chu6635","female","18_30",5,1,0,1,1,0,1,0,1,3,8,57.1428571428571
"Chu9456","female","u18",1,1,0,0,0,0,1,0,0,0,2,14.2857142857143
"Di8728","female","30_45",5,1,0,0,0,0,1,0,0,0,2,14.2857142857143
"Dươ6715","female","30_45",5,1,0,1,1,0,0.5,0,0,2,5.5,39.2857142857143
"Dươ9339","female","30_45",3,1,0,1,1,0,1,1,1,2,8,57.1428571428571
"Hoà0470","male","18_30",4,1,0,0,0,1,1,0,0,0,3,21.4285714285714
"Hoà6255","male","18_30",2,1,0,1,1,1,1,0,0,1,6,42.8571428571429
"Hoà9605","male","u18",4,1,0,0,0,0,1,0,0,0,2,14.2857142857143
"Lê0725","male","u18",4,0,1,0,0,0,1,0,0,0,2,14.2857142857143
"Lê8624","female","u18",4,1,0,0,1,0,1,1,0,1,5,35.7142857142857
"Lê9414","female","u18",4,1,0,0,1,0,0.5,0,0,2,4.5,32.1428571428571
"Lươ0955","female","18_30",3,1,0,0,1,1,1,1,0,1,6,42.8571428571429
"Ngu0614","female","u18",5,1,0,0,1,0,1,0,0,1,4,28.5714285714286
"Ngu2863","female","18_30",5,1,0,1,1,0,1,0,1,0,5,35.7142857142857
"Ngu2928","male","18_30",4,1,0,1,1,0,1,1,1,2,8,57.1428571428571
"Ngu2989","female","30_45",3,1,0,0,0,0,1,0,0,1,3,21.4285714285714
"Ngu3366","female","18_30",2,1,0,1,1,1,1,1,0,0,6,42.8571428571429
"Ngu3511","male","u18",3,1,0,0,1,1,1,0,0,0,4,28.5714285714286
"Ngu5109","male","u18",4,1,0,0,0,0,0.5,0,0,4,5.5,39.2857142857143
"Ngu5226","male","u18",3,1,0,0,0,1,1,0,0,0,3,21.4285714285714
"Ngu5442","female","over55",2,0,0,0,1,1,0.5,0,0,0,2.5,17.8571428571429
"Ngu8516",NA,"u18",3,1,0,0,1,0,1,0,0,0,3,21.4285714285714
"Ngu8677","female","30_45",2,1,0,0,1,0,1,0,0,0,3,21.4285714285714
"Ngu9010","female","over55",2,0,0,0,0,0,1,0,0,0,1,7.14285714285714
"Ngu9882","male","u18",4,1,0,0,1,0,1,0,0,1,4,28.5714285714286
"Ngô6665","female","18_30",3,1,0,0,0,0,0.5,0,0,1,2.5,17.8571428571429
"Pha8889","male","u18",4,1,0,0,1,0,1,0,0,0,3,21.4285714285714
"Phạ3235","male","u18",3,1,0,0,1,1,1,0,0,0,4,28.5714285714286
"Phạ3812","female","u18",5,1,0,0,0,1,1,0,0,2,5,35.7142857142857
"Phạ6512","other","u18",3,1,0,0,0,1,1,0,1,0,4,28.5714285714286
"Phạ7309","male","over60",1,0,0,1,1,1,1,0,0,0,6,42.8571428571429
"Phạ8623",NA,NA,3,1,1,0,0,0,1,0,0,2,5,35.7142857142857
"Phạ9347","other","30_45",3,0,0,1,1,1,1,0,0,0,4,28.5714285714286
"Tra6095","female","18_30",3,1,0,0,1,0,1,1,1,3,9,64.2857142857143
"Trầ1998","female","18_30",2,1,0,1,1,1,1,0,0,2,7,50
"Trầ2882","female","30_45",3,1,0,0,1,0,1,0,0,2,5,35.7142857142857
"Trầ6965","female","u18",3,1,0,0,0,1,1,0,0,0,3,21.4285714285714
"Vũ7359","male","u18",4,1,0,0,1,0,1,0,0,2,5,35.7142857142857
"Vũ9846","female","30_45",4,1,0,1,1,1,1,1,1,2,9,64.2857142857143
"Đin7995","male","u18",3,1,0,0,0,1,1,0,0,1,4,28.5714285714286
"Đỗ8126","female","u18",5,1,1,0,1,1,1,0,0,2,7,50
